"table_schema","table_name","column_name","data_type","character_maximum_length"
"public","account_analytic_account","id","integer",NULL
"public","account_analytic_account","plan_id","integer",NULL
"public","account_analytic_account","root_plan_id","integer",NULL
"public","account_analytic_account","company_id","integer",NULL
"public","account_analytic_account","partner_id","integer",NULL
"public","account_analytic_account","create_uid","integer",NULL
"public","account_analytic_account","write_uid","integer",NULL
"public","account_analytic_account","code","character varying",NULL
"public","account_analytic_account","name","jsonb",NULL
"public","account_analytic_account","active","boolean",NULL
"public","account_analytic_account","create_date","timestamp without time zone",NULL
"public","account_analytic_account","write_date","timestamp without time zone",NULL
"public","account_analytic_applicability","id","integer",NULL
"public","account_analytic_applicability","analytic_plan_id","integer",NULL
"public","account_analytic_applicability","company_id","integer",NULL
"public","account_analytic_applicability","create_uid","integer",NULL
"public","account_analytic_applicability","write_uid","integer",NULL
"public","account_analytic_applicability","business_domain","character varying",NULL
"public","account_analytic_applicability","applicability","character varying",NULL
"public","account_analytic_applicability","create_date","timestamp without time zone",NULL
"public","account_analytic_applicability","write_date","timestamp without time zone",NULL
"public","account_analytic_distribution_model","id","integer",NULL
"public","account_analytic_distribution_model","sequence","integer",NULL
"public","account_analytic_distribution_model","partner_id","integer",NULL
"public","account_analytic_distribution_model","partner_category_id","integer",NULL
"public","account_analytic_distribution_model","company_id","integer",NULL
"public","account_analytic_distribution_model","create_uid","integer",NULL
"public","account_analytic_distribution_model","write_uid","integer",NULL
"public","account_analytic_distribution_model","analytic_distribution","jsonb",NULL
"public","account_analytic_distribution_model","create_date","timestamp without time zone",NULL
"public","account_analytic_distribution_model","write_date","timestamp without time zone",NULL
"public","account_analytic_line","id","integer",NULL
"public","account_analytic_line","account_id","integer",NULL
"public","account_analytic_line","product_uom_id","integer",NULL
"public","account_analytic_line","partner_id","integer",NULL
"public","account_analytic_line","user_id","integer",NULL
"public","account_analytic_line","company_id","integer",NULL
"public","account_analytic_line","currency_id","integer",NULL
"public","account_analytic_line","create_uid","integer",NULL
"public","account_analytic_line","write_uid","integer",NULL
"public","account_analytic_line","name","character varying",NULL
"public","account_analytic_line","category","character varying",NULL
"public","account_analytic_line","date","date",NULL
"public","account_analytic_line","amount","numeric",NULL
"public","account_analytic_line","create_date","timestamp without time zone",NULL
"public","account_analytic_line","write_date","timestamp without time zone",NULL
"public","account_analytic_line","unit_amount","double precision",NULL
"public","account_analytic_plan","id","integer",NULL
"public","account_analytic_plan","parent_id","integer",NULL
"public","account_analytic_plan","color","integer",NULL
"public","account_analytic_plan","sequence","integer",NULL
"public","account_analytic_plan","create_uid","integer",NULL
"public","account_analytic_plan","write_uid","integer",NULL
"public","account_analytic_plan","parent_path","character varying",NULL
"public","account_analytic_plan","complete_name","character varying",NULL
"public","account_analytic_plan","name","jsonb",NULL
"public","account_analytic_plan","default_applicability","jsonb",NULL
"public","account_analytic_plan","description","text",NULL
"public","account_analytic_plan","create_date","timestamp without time zone",NULL
"public","account_analytic_plan","write_date","timestamp without time zone",NULL
"public","acquisition_template_budget_rel","acquisition_template_id","integer",NULL
"public","acquisition_template_budget_rel","budget_id","integer",NULL
"public","acquisition_template_singleton_budget_rel","acquisition_template_id","integer",NULL
"public","acquisition_template_singleton_budget_rel","singleton_line_id","integer",NULL
"public","activity_attachment_rel","activity_id","integer",NULL
"public","activity_attachment_rel","attachment_id","integer",NULL
"public","auth_passkey_key","id","integer",NULL
"public","auth_passkey_key","sign_count","integer",NULL
"public","auth_passkey_key","create_uid","integer",NULL
"public","auth_passkey_key","write_uid","integer",NULL
"public","auth_passkey_key","name","character varying",NULL
"public","auth_passkey_key","credential_identifier","character varying",NULL
"public","auth_passkey_key","create_date","timestamp without time zone",NULL
"public","auth_passkey_key","write_date","timestamp without time zone",NULL
"public","auth_passkey_key","public_key","character varying",NULL
"public","auth_passkey_key_create","id","integer",NULL
"public","auth_passkey_key_create","create_uid","integer",NULL
"public","auth_passkey_key_create","write_uid","integer",NULL
"public","auth_passkey_key_create","name","character varying",NULL
"public","auth_passkey_key_create","create_date","timestamp without time zone",NULL
"public","auth_passkey_key_create","write_date","timestamp without time zone",NULL
"public","auth_totp_device","id","integer",NULL
"public","auth_totp_device","name","character varying",NULL
"public","auth_totp_device","user_id","integer",NULL
"public","auth_totp_device","scope","character varying",NULL
"public","auth_totp_device","expiration_date","timestamp without time zone",NULL
"public","auth_totp_device","index","character varying",8
"public","auth_totp_device","key","character varying",NULL
"public","auth_totp_device","create_date","timestamp without time zone",NULL
"public","auth_totp_rate_limit_log","id","integer",NULL
"public","auth_totp_rate_limit_log","user_id","integer",NULL
"public","auth_totp_rate_limit_log","create_uid","integer",NULL
"public","auth_totp_rate_limit_log","write_uid","integer",NULL
"public","auth_totp_rate_limit_log","ip","character varying",NULL
"public","auth_totp_rate_limit_log","limit_type","character varying",NULL
"public","auth_totp_rate_limit_log","create_date","timestamp without time zone",NULL
"public","auth_totp_rate_limit_log","write_date","timestamp without time zone",NULL
"public","auth_totp_wizard","id","integer",NULL
"public","auth_totp_wizard","user_id","integer",NULL
"public","auth_totp_wizard","create_uid","integer",NULL
"public","auth_totp_wizard","write_uid","integer",NULL
"public","auth_totp_wizard","secret","character varying",NULL
"public","auth_totp_wizard","url","character varying",NULL
"public","auth_totp_wizard","create_date","timestamp without time zone",NULL
"public","auth_totp_wizard","write_date","timestamp without time zone",NULL
"public","auth_totp_wizard","qrcode","bytea",NULL
"public","base_document_layout","id","integer",NULL
"public","base_document_layout","company_id","integer",NULL
"public","base_document_layout","report_layout_id","integer",NULL
"public","base_document_layout","create_uid","integer",NULL
"public","base_document_layout","write_uid","integer",NULL
"public","base_document_layout","create_date","timestamp without time zone",NULL
"public","base_document_layout","write_date","timestamp without time zone",NULL
"public","base_enable_profiling_wizard","id","integer",NULL
"public","base_enable_profiling_wizard","create_uid","integer",NULL
"public","base_enable_profiling_wizard","write_uid","integer",NULL
"public","base_enable_profiling_wizard","duration","character varying",NULL
"public","base_enable_profiling_wizard","expiration","timestamp without time zone",NULL
"public","base_enable_profiling_wizard","create_date","timestamp without time zone",NULL
"public","base_enable_profiling_wizard","write_date","timestamp without time zone",NULL
"public","base_import_import","id","integer",NULL
"public","base_import_import","create_uid","integer",NULL
"public","base_import_import","write_uid","integer",NULL
"public","base_import_import","res_model","character varying",NULL
"public","base_import_import","file_name","character varying",NULL
"public","base_import_import","file_type","character varying",NULL
"public","base_import_import","create_date","timestamp without time zone",NULL
"public","base_import_import","write_date","timestamp without time zone",NULL
"public","base_import_import","file","bytea",NULL
"public","base_import_mapping","id","integer",NULL
"public","base_import_mapping","create_uid","integer",NULL
"public","base_import_mapping","write_uid","integer",NULL
"public","base_import_mapping","res_model","character varying",NULL
"public","base_import_mapping","column_name","character varying",NULL
"public","base_import_mapping","field_name","character varying",NULL
"public","base_import_mapping","create_date","timestamp without time zone",NULL
"public","base_import_mapping","write_date","timestamp without time zone",NULL
"public","base_import_module","id","integer",NULL
"public","base_import_module","create_uid","integer",NULL
"public","base_import_module","write_uid","integer",NULL
"public","base_import_module","state","character varying",NULL
"public","base_import_module","import_message","text",NULL
"public","base_import_module","modules_dependencies","text",NULL
"public","base_import_module","force","boolean",NULL
"public","base_import_module","with_demo","boolean",NULL
"public","base_import_module","create_date","timestamp without time zone",NULL
"public","base_import_module","write_date","timestamp without time zone",NULL
"public","base_import_module","module_file","bytea",NULL
"public","base_language_export","id","integer",NULL
"public","base_language_export","model_id","integer",NULL
"public","base_language_export","create_uid","integer",NULL
"public","base_language_export","write_uid","integer",NULL
"public","base_language_export","name","character varying",NULL
"public","base_language_export","lang","character varying",NULL
"public","base_language_export","format","character varying",NULL
"public","base_language_export","export_type","character varying",NULL
"public","base_language_export","domain","character varying",NULL
"public","base_language_export","state","character varying",NULL
"public","base_language_export","create_date","timestamp without time zone",NULL
"public","base_language_export","write_date","timestamp without time zone",NULL
"public","base_language_export","data","bytea",NULL
"public","base_language_import","id","integer",NULL
"public","base_language_import","create_uid","integer",NULL
"public","base_language_import","write_uid","integer",NULL
"public","base_language_import","name","character varying",NULL
"public","base_language_import","code","character varying",NULL
"public","base_language_import","filename","character varying",NULL
"public","base_language_import","overwrite","boolean",NULL
"public","base_language_import","create_date","timestamp without time zone",NULL
"public","base_language_import","write_date","timestamp without time zone",NULL
"public","base_language_import","data","bytea",NULL
"public","base_language_install","id","integer",NULL
"public","base_language_install","create_uid","integer",NULL
"public","base_language_install","write_uid","integer",NULL
"public","base_language_install","overwrite","boolean",NULL
"public","base_language_install","create_date","timestamp without time zone",NULL
"public","base_language_install","write_date","timestamp without time zone",NULL
"public","base_module_install_request","id","integer",NULL
"public","base_module_install_request","module_id","integer",NULL
"public","base_module_install_request","user_id","integer",NULL
"public","base_module_install_request","create_uid","integer",NULL
"public","base_module_install_request","write_uid","integer",NULL
"public","base_module_install_request","body_html","text",NULL
"public","base_module_install_request","create_date","timestamp without time zone",NULL
"public","base_module_install_request","write_date","timestamp without time zone",NULL
"public","base_module_install_review","id","integer",NULL
"public","base_module_install_review","module_id","integer",NULL
"public","base_module_install_review","create_uid","integer",NULL
"public","base_module_install_review","write_uid","integer",NULL
"public","base_module_install_review","create_date","timestamp without time zone",NULL
"public","base_module_install_review","write_date","timestamp without time zone",NULL
"public","base_module_uninstall","id","integer",NULL
"public","base_module_uninstall","create_uid","integer",NULL
"public","base_module_uninstall","write_uid","integer",NULL
"public","base_module_uninstall","show_all","boolean",NULL
"public","base_module_uninstall","create_date","timestamp without time zone",NULL
"public","base_module_uninstall","write_date","timestamp without time zone",NULL
"public","base_module_uninstall_ir_module_module_rel","base_module_uninstall_id","integer",NULL
"public","base_module_uninstall_ir_module_module_rel","ir_module_module_id","integer",NULL
"public","base_module_update","id","integer",NULL
"public","base_module_update","updated","integer",NULL
"public","base_module_update","added","integer",NULL
"public","base_module_update","create_uid","integer",NULL
"public","base_module_update","write_uid","integer",NULL
"public","base_module_update","state","character varying",NULL
"public","base_module_update","create_date","timestamp without time zone",NULL
"public","base_module_update","write_date","timestamp without time zone",NULL
"public","base_module_upgrade","id","integer",NULL
"public","base_module_upgrade","create_uid","integer",NULL
"public","base_module_upgrade","write_uid","integer",NULL
"public","base_module_upgrade","module_info","text",NULL
"public","base_module_upgrade","create_date","timestamp without time zone",NULL
"public","base_module_upgrade","write_date","timestamp without time zone",NULL
"public","base_partner_merge_automatic_wizard","id","integer",NULL
"public","base_partner_merge_automatic_wizard","number_group","integer",NULL
"public","base_partner_merge_automatic_wizard","current_line_id","integer",NULL
"public","base_partner_merge_automatic_wizard","dst_partner_id","integer",NULL
"public","base_partner_merge_automatic_wizard","maximum_group","integer",NULL
"public","base_partner_merge_automatic_wizard","create_uid","integer",NULL
"public","base_partner_merge_automatic_wizard","write_uid","integer",NULL
"public","base_partner_merge_automatic_wizard","state","character varying",NULL
"public","base_partner_merge_automatic_wizard","group_by_email","boolean",NULL
"public","base_partner_merge_automatic_wizard","group_by_name","boolean",NULL
"public","base_partner_merge_automatic_wizard","group_by_is_company","boolean",NULL
"public","base_partner_merge_automatic_wizard","group_by_vat","boolean",NULL
"public","base_partner_merge_automatic_wizard","group_by_parent_id","boolean",NULL
"public","base_partner_merge_automatic_wizard","exclude_contact","boolean",NULL
"public","base_partner_merge_automatic_wizard","exclude_journal_item","boolean",NULL
"public","base_partner_merge_automatic_wizard","create_date","timestamp without time zone",NULL
"public","base_partner_merge_automatic_wizard","write_date","timestamp without time zone",NULL
"public","base_partner_merge_automatic_wizard_res_partner_rel","base_partner_merge_automatic_wizard_id","integer",NULL
"public","base_partner_merge_automatic_wizard_res_partner_rel","res_partner_id","integer",NULL
"public","base_partner_merge_line","id","integer",NULL
"public","base_partner_merge_line","wizard_id","integer",NULL
"public","base_partner_merge_line","min_id","integer",NULL
"public","base_partner_merge_line","create_uid","integer",NULL
"public","base_partner_merge_line","write_uid","integer",NULL
"public","base_partner_merge_line","aggr_ids","character varying",NULL
"public","base_partner_merge_line","create_date","timestamp without time zone",NULL
"public","base_partner_merge_line","write_date","timestamp without time zone",NULL
"public","bus_bus","id","integer",NULL
"public","bus_bus","create_uid","integer",NULL
"public","bus_bus","write_uid","integer",NULL
"public","bus_bus","channel","character varying",NULL
"public","bus_bus","message","character varying",NULL
"public","bus_bus","create_date","timestamp without time zone",NULL
"public","bus_bus","write_date","timestamp without time zone",NULL
"public","change_password_own","id","integer",NULL
"public","change_password_own","create_uid","integer",NULL
"public","change_password_own","write_uid","integer",NULL
"public","change_password_own","new_password","character varying",NULL
"public","change_password_own","confirm_password","character varying",NULL
"public","change_password_own","create_date","timestamp without time zone",NULL
"public","change_password_own","write_date","timestamp without time zone",NULL
"public","change_password_user","id","integer",NULL
"public","change_password_user","wizard_id","integer",NULL
"public","change_password_user","user_id","integer",NULL
"public","change_password_user","create_uid","integer",NULL
"public","change_password_user","write_uid","integer",NULL
"public","change_password_user","user_login","character varying",NULL
"public","change_password_user","new_passwd","character varying",NULL
"public","change_password_user","create_date","timestamp without time zone",NULL
"public","change_password_user","write_date","timestamp without time zone",NULL
"public","change_password_wizard","id","integer",NULL
"public","change_password_wizard","create_uid","integer",NULL
"public","change_password_wizard","write_uid","integer",NULL
"public","change_password_wizard","create_date","timestamp without time zone",NULL
"public","change_password_wizard","write_date","timestamp without time zone",NULL
"public","decimal_precision","id","integer",NULL
"public","decimal_precision","digits","integer",NULL
"public","decimal_precision","create_uid","integer",NULL
"public","decimal_precision","write_uid","integer",NULL
"public","decimal_precision","name","character varying",NULL
"public","decimal_precision","create_date","timestamp without time zone",NULL
"public","decimal_precision","write_date","timestamp without time zone",NULL
"public","digest_digest","id","integer",NULL
"public","digest_digest","company_id","integer",NULL
"public","digest_digest","create_uid","integer",NULL
"public","digest_digest","write_uid","integer",NULL
"public","digest_digest","periodicity","character varying",NULL
"public","digest_digest","state","character varying",NULL
"public","digest_digest","next_run_date","date",NULL
"public","digest_digest","name","jsonb",NULL
"public","digest_digest","kpi_res_users_connected","boolean",NULL
"public","digest_digest","kpi_mail_message_total","boolean",NULL
"public","digest_digest","create_date","timestamp without time zone",NULL
"public","digest_digest","write_date","timestamp without time zone",NULL
"public","digest_digest_res_users_rel","digest_digest_id","integer",NULL
"public","digest_digest_res_users_rel","res_users_id","integer",NULL
"public","digest_tip","id","integer",NULL
"public","digest_tip","sequence","integer",NULL
"public","digest_tip","group_id","integer",NULL
"public","digest_tip","create_uid","integer",NULL
"public","digest_tip","write_uid","integer",NULL
"public","digest_tip","name","jsonb",NULL
"public","digest_tip","tip_description","jsonb",NULL
"public","digest_tip","create_date","timestamp without time zone",NULL
"public","digest_tip","write_date","timestamp without time zone",NULL
"public","digest_tip_res_users_rel","digest_tip_id","integer",NULL
"public","digest_tip_res_users_rel","res_users_id","integer",NULL
"public","discuss_call_history","id","integer",NULL
"public","discuss_call_history","channel_id","integer",NULL
"public","discuss_call_history","start_call_message_id","integer",NULL
"public","discuss_call_history","create_uid","integer",NULL
"public","discuss_call_history","write_uid","integer",NULL
"public","discuss_call_history","start_dt","timestamp without time zone",NULL
"public","discuss_call_history","end_dt","timestamp without time zone",NULL
"public","discuss_call_history","create_date","timestamp without time zone",NULL
"public","discuss_call_history","write_date","timestamp without time zone",NULL
"public","discuss_channel","id","integer",NULL
"public","discuss_channel","parent_channel_id","integer",NULL
"public","discuss_channel","from_message_id","integer",NULL
"public","discuss_channel","group_public_id","integer",NULL
"public","discuss_channel","create_uid","integer",NULL
"public","discuss_channel","write_uid","integer",NULL
"public","discuss_channel","name","character varying",NULL
"public","discuss_channel","channel_type","character varying",NULL
"public","discuss_channel","default_display_mode","character varying",NULL
"public","discuss_channel","sfu_channel_uuid","character varying",NULL
"public","discuss_channel","sfu_server_url","character varying",NULL
"public","discuss_channel","uuid","character varying",50
"public","discuss_channel","description","text",NULL
"public","discuss_channel","active","boolean",NULL
"public","discuss_channel","last_interest_dt","timestamp without time zone",NULL
"public","discuss_channel","create_date","timestamp without time zone",NULL
"public","discuss_channel","write_date","timestamp without time zone",NULL
"public","discuss_channel_member","id","integer",NULL
"public","discuss_channel_member","partner_id","integer",NULL
"public","discuss_channel_member","guest_id","integer",NULL
"public","discuss_channel_member","channel_id","integer",NULL
"public","discuss_channel_member","fetched_message_id","integer",NULL
"public","discuss_channel_member","seen_message_id","integer",NULL
"public","discuss_channel_member","new_message_separator","integer",NULL
"public","discuss_channel_member","rtc_inviting_session_id","integer",NULL
"public","discuss_channel_member","create_uid","integer",NULL
"public","discuss_channel_member","write_uid","integer",NULL
"public","discuss_channel_member","custom_channel_name","character varying",NULL
"public","discuss_channel_member","custom_notifications","character varying",NULL
"public","discuss_channel_member","mute_until_dt","timestamp without time zone",NULL
"public","discuss_channel_member","unpin_dt","timestamp without time zone",NULL
"public","discuss_channel_member","last_interest_dt","timestamp without time zone",NULL
"public","discuss_channel_member","last_seen_dt","timestamp without time zone",NULL
"public","discuss_channel_member","create_date","timestamp without time zone",NULL
"public","discuss_channel_member","write_date","timestamp without time zone",NULL
"public","discuss_channel_res_groups_rel","discuss_channel_id","integer",NULL
"public","discuss_channel_res_groups_rel","res_groups_id","integer",NULL
"public","discuss_channel_rtc_session","id","integer",NULL
"public","discuss_channel_rtc_session","channel_member_id","integer",NULL
"public","discuss_channel_rtc_session","channel_id","integer",NULL
"public","discuss_channel_rtc_session","partner_id","integer",NULL
"public","discuss_channel_rtc_session","create_uid","integer",NULL
"public","discuss_channel_rtc_session","write_uid","integer",NULL
"public","discuss_channel_rtc_session","is_screen_sharing_on","boolean",NULL
"public","discuss_channel_rtc_session","is_camera_on","boolean",NULL
"public","discuss_channel_rtc_session","is_muted","boolean",NULL
"public","discuss_channel_rtc_session","is_deaf","boolean",NULL
"public","discuss_channel_rtc_session","write_date","timestamp without time zone",NULL
"public","discuss_channel_rtc_session","create_date","timestamp without time zone",NULL
"public","discuss_gif_favorite","id","integer",NULL
"public","discuss_gif_favorite","create_uid","integer",NULL
"public","discuss_gif_favorite","write_uid","integer",NULL
"public","discuss_gif_favorite","tenor_gif_id","character varying",NULL
"public","discuss_gif_favorite","create_date","timestamp without time zone",NULL
"public","discuss_gif_favorite","write_date","timestamp without time zone",NULL
"public","discuss_voice_metadata","id","integer",NULL
"public","discuss_voice_metadata","attachment_id","integer",NULL
"public","discuss_voice_metadata","create_uid","integer",NULL
"public","discuss_voice_metadata","write_uid","integer",NULL
"public","discuss_voice_metadata","create_date","timestamp without time zone",NULL
"public","discuss_voice_metadata","write_date","timestamp without time zone",NULL
"public","email_template_attachment_rel","email_template_id","integer",NULL
"public","email_template_attachment_rel","attachment_id","integer",NULL
"public","fetchmail_server","id","integer",NULL
"public","fetchmail_server","port","integer",NULL
"public","fetchmail_server","object_id","integer",NULL
"public","fetchmail_server","priority","integer",NULL
"public","fetchmail_server","create_uid","integer",NULL
"public","fetchmail_server","write_uid","integer",NULL
"public","fetchmail_server","name","character varying",NULL
"public","fetchmail_server","state","character varying",NULL
"public","fetchmail_server","server","character varying",NULL
"public","fetchmail_server","server_type","character varying",NULL
"public","fetchmail_server","user","character varying",NULL
"public","fetchmail_server","password","character varying",NULL
"public","fetchmail_server","script","character varying",NULL
"public","fetchmail_server","error_message","text",NULL
"public","fetchmail_server","configuration","text",NULL
"public","fetchmail_server","active","boolean",NULL
"public","fetchmail_server","is_ssl","boolean",NULL
"public","fetchmail_server","attach","boolean",NULL
"public","fetchmail_server","original","boolean",NULL
"public","fetchmail_server","date","timestamp without time zone",NULL
"public","fetchmail_server","error_date","timestamp without time zone",NULL
"public","fetchmail_server","create_date","timestamp without time zone",NULL
"public","fetchmail_server","write_date","timestamp without time zone",NULL
"public","fetchmail_server","google_gmail_access_token_expiration","integer",NULL
"public","fetchmail_server","google_gmail_refresh_token","character varying",NULL
"public","fetchmail_server","google_gmail_access_token","character varying",NULL
"public","fetchmail_server","microsoft_outlook_access_token_expiration","integer",NULL
"public","fetchmail_server","microsoft_outlook_refresh_token","character varying",NULL
"public","fetchmail_server","microsoft_outlook_access_token","character varying",NULL
"public","html_editor_converter_test","id","integer",NULL
"public","html_editor_converter_test","integer","integer",NULL
"public","html_editor_converter_test","many2one","integer",NULL
"public","html_editor_converter_test","create_uid","integer",NULL
"public","html_editor_converter_test","write_uid","integer",NULL
"public","html_editor_converter_test","char","character varying",NULL
"public","html_editor_converter_test","selection_str","character varying",NULL
"public","html_editor_converter_test","date","date",NULL
"public","html_editor_converter_test","html","text",NULL
"public","html_editor_converter_test","text","text",NULL
"public","html_editor_converter_test","numeric","numeric",NULL
"public","html_editor_converter_test","datetime","timestamp without time zone",NULL
"public","html_editor_converter_test","create_date","timestamp without time zone",NULL
"public","html_editor_converter_test","write_date","timestamp without time zone",NULL
"public","html_editor_converter_test","float","double precision",NULL
"public","html_editor_converter_test","binary","bytea",NULL
"public","html_editor_converter_test_sub","id","integer",NULL
"public","html_editor_converter_test_sub","create_uid","integer",NULL
"public","html_editor_converter_test_sub","write_uid","integer",NULL
"public","html_editor_converter_test_sub","name","character varying",NULL
"public","html_editor_converter_test_sub","create_date","timestamp without time zone",NULL
"public","html_editor_converter_test_sub","write_date","timestamp without time zone",NULL
"public","iap_account","id","integer",NULL
"public","iap_account","service_id","integer",NULL
"public","iap_account","create_uid","integer",NULL
"public","iap_account","write_uid","integer",NULL
"public","iap_account","name","character varying",NULL
"public","iap_account","account_token","character varying",43
"public","iap_account","balance","character varying",NULL
"public","iap_account","state","character varying",NULL
"public","iap_account","service_locked","boolean",NULL
"public","iap_account","create_date","timestamp without time zone",NULL
"public","iap_account","write_date","timestamp without time zone",NULL
"public","iap_account","warning_threshold","double precision",NULL
"public","iap_account","sender_name","character varying",NULL
"public","iap_account_res_company_rel","iap_account_id","integer",NULL
"public","iap_account_res_company_rel","res_company_id","integer",NULL
"public","iap_account_res_users_rel","iap_account_id","integer",NULL
"public","iap_account_res_users_rel","res_users_id","integer",NULL
"public","iap_service","id","integer",NULL
"public","iap_service","create_uid","integer",NULL
"public","iap_service","write_uid","integer",NULL
"public","iap_service","name","character varying",NULL
"public","iap_service","technical_name","character varying",NULL
"public","iap_service","description","jsonb",NULL
"public","iap_service","unit_name","jsonb",NULL
"public","iap_service","integer_balance","boolean",NULL
"public","iap_service","create_date","timestamp without time zone",NULL
"public","iap_service","write_date","timestamp without time zone",NULL
"public","ir_act_client","id","integer",NULL
"public","ir_act_client","binding_model_id","integer",NULL
"public","ir_act_client","create_uid","integer",NULL
"public","ir_act_client","write_uid","integer",NULL
"public","ir_act_client","type","character varying",NULL
"public","ir_act_client","path","character varying",NULL
"public","ir_act_client","binding_type","character varying",NULL
"public","ir_act_client","binding_view_types","character varying",NULL
"public","ir_act_client","name","jsonb",NULL
"public","ir_act_client","help","jsonb",NULL
"public","ir_act_client","create_date","timestamp without time zone",NULL
"public","ir_act_client","write_date","timestamp without time zone",NULL
"public","ir_act_client","tag","character varying",NULL
"public","ir_act_client","target","character varying",NULL
"public","ir_act_client","res_model","character varying",NULL
"public","ir_act_client","context","character varying",NULL
"public","ir_act_client","params_store","bytea",NULL
"public","ir_act_report_xml","id","integer",NULL
"public","ir_act_report_xml","binding_model_id","integer",NULL
"public","ir_act_report_xml","create_uid","integer",NULL
"public","ir_act_report_xml","write_uid","integer",NULL
"public","ir_act_report_xml","type","character varying",NULL
"public","ir_act_report_xml","path","character varying",NULL
"public","ir_act_report_xml","binding_type","character varying",NULL
"public","ir_act_report_xml","binding_view_types","character varying",NULL
"public","ir_act_report_xml","name","jsonb",NULL
"public","ir_act_report_xml","help","jsonb",NULL
"public","ir_act_report_xml","create_date","timestamp without time zone",NULL
"public","ir_act_report_xml","write_date","timestamp without time zone",NULL
"public","ir_act_report_xml","paperformat_id","integer",NULL
"public","ir_act_report_xml","model","character varying",NULL
"public","ir_act_report_xml","report_type","character varying",NULL
"public","ir_act_report_xml","report_name","character varying",NULL
"public","ir_act_report_xml","report_file","character varying",NULL
"public","ir_act_report_xml","attachment","character varying",NULL
"public","ir_act_report_xml","domain","character varying",NULL
"public","ir_act_report_xml","print_report_name","jsonb",NULL
"public","ir_act_report_xml","multi","boolean",NULL
"public","ir_act_report_xml","attachment_use","boolean",NULL
"public","ir_act_server","id","integer",NULL
"public","ir_act_server","binding_model_id","integer",NULL
"public","ir_act_server","create_uid","integer",NULL
"public","ir_act_server","write_uid","integer",NULL
"public","ir_act_server","type","character varying",NULL
"public","ir_act_server","path","character varying",NULL
"public","ir_act_server","binding_type","character varying",NULL
"public","ir_act_server","binding_view_types","character varying",NULL
"public","ir_act_server","name","jsonb",NULL
"public","ir_act_server","help","jsonb",NULL
"public","ir_act_server","create_date","timestamp without time zone",NULL
"public","ir_act_server","write_date","timestamp without time zone",NULL
"public","ir_act_server","sequence","integer",NULL
"public","ir_act_server","model_id","integer",NULL
"public","ir_act_server","parent_id","integer",NULL
"public","ir_act_server","crud_model_id","integer",NULL
"public","ir_act_server","link_field_id","integer",NULL
"public","ir_act_server","update_field_id","integer",NULL
"public","ir_act_server","update_related_model_id","integer",NULL
"public","ir_act_server","sequence_id","integer",NULL
"public","ir_act_server","selection_value","integer",NULL
"public","ir_act_server","automated_name","character varying",NULL
"public","ir_act_server","usage","character varying",NULL
"public","ir_act_server","state","character varying",NULL
"public","ir_act_server","update_path","character varying",NULL
"public","ir_act_server","update_m2m_operation","character varying",NULL
"public","ir_act_server","update_boolean_value","character varying",NULL
"public","ir_act_server","evaluation_type","character varying",NULL
"public","ir_act_server","resource_ref","character varying",NULL
"public","ir_act_server","webhook_url","character varying",NULL
"public","ir_act_server","code","text",NULL
"public","ir_act_server","value","text",NULL
"public","ir_act_server","html_value","text",NULL
"public","ir_act_server","activity_user_id","integer",NULL
"public","ir_act_server","activity_type_id","integer",NULL
"public","ir_act_server","template_id","integer",NULL
"public","ir_act_server","activity_date_deadline_range","integer",NULL
"public","ir_act_server","activity_summary","character varying",NULL
"public","ir_act_server","followers_type","character varying",NULL
"public","ir_act_server","followers_partner_field_name","character varying",NULL
"public","ir_act_server","mail_post_method","character varying",NULL
"public","ir_act_server","activity_date_deadline_range_type","character varying",NULL
"public","ir_act_server","activity_user_type","character varying",NULL
"public","ir_act_server","activity_user_field_name","character varying",NULL
"public","ir_act_server","activity_note","text",NULL
"public","ir_act_server","mail_post_autofollow","boolean",NULL
"public","ir_act_server","sms_template_id","integer",NULL
"public","ir_act_server","sms_method","character varying",NULL
"public","ir_act_server_group_rel","act_id","integer",NULL
"public","ir_act_server_group_rel","gid","integer",NULL
"public","ir_act_server_res_partner_rel","ir_act_server_id","integer",NULL
"public","ir_act_server_res_partner_rel","res_partner_id","integer",NULL
"public","ir_act_server_webhook_field_rel","server_id","integer",NULL
"public","ir_act_server_webhook_field_rel","field_id","integer",NULL
"public","ir_act_url","id","integer",NULL
"public","ir_act_url","binding_model_id","integer",NULL
"public","ir_act_url","create_uid","integer",NULL
"public","ir_act_url","write_uid","integer",NULL
"public","ir_act_url","type","character varying",NULL
"public","ir_act_url","path","character varying",NULL
"public","ir_act_url","binding_type","character varying",NULL
"public","ir_act_url","binding_view_types","character varying",NULL
"public","ir_act_url","name","jsonb",NULL
"public","ir_act_url","help","jsonb",NULL
"public","ir_act_url","create_date","timestamp without time zone",NULL
"public","ir_act_url","write_date","timestamp without time zone",NULL
"public","ir_act_url","target","character varying",NULL
"public","ir_act_url","url","text",NULL
"public","ir_act_window","id","integer",NULL
"public","ir_act_window","binding_model_id","integer",NULL
"public","ir_act_window","create_uid","integer",NULL
"public","ir_act_window","write_uid","integer",NULL
"public","ir_act_window","type","character varying",NULL
"public","ir_act_window","path","character varying",NULL
"public","ir_act_window","binding_type","character varying",NULL
"public","ir_act_window","binding_view_types","character varying",NULL
"public","ir_act_window","name","jsonb",NULL
"public","ir_act_window","help","jsonb",NULL
